1-1108 ,,Felony
1-1109 ,,Felony
1-0334 ,,Felony
1-0173 ,,Felony
1-0322 ,,Felony
2-1138 ,,Felony
1-0466 ,,Misd.
1-1614 ,,Misd.
1-0481 ,,Misd.
1-0734 ,,Misd.
2-0238 ,,Misd.
1-0844 ,,Misd.
1-1002 ,,Misd.
1-1003 ,,Misd.
1-1608 ,,Misd.
1-0774 ,,Felony
1-0776 ,,Felony
1-1480 ,,Felony
1-1661 ,,Misd.
"AB, §14-2501",,
"AB, §20-2501",,
"AB, §29-2501",,
"1-0500 CR, §10-6041-05011-0503",,Misd.
1-0505 ,,Felony
1-0506 ,,Felony
1-0507 ,,Felony
1-0597 ,,Misd.
2-0260 ,,Felony
1-6500 ,,Felony
1-6501 ,,Felony
1-6505 ,,Misd.
1-6502 ,,Felony
1-6504 ,,Misd.
1-6503 ,,Misd.
2-2003 ,,Misd.
2-0999 ,,Felony
3-0999 ,,Felony
1-1420 ,,Felony
1-1415 ,,Misd.
1-0965 ,,Felony
1-0285 ,,Misd.
4-7360 ,,Misd.
1-0321 ,,Misd.
2-0254 ,,Misd.
2-0354 ,,Misd.
2-0105 ,,Misd.
2-0105 ,,Misd.
1-1425 ,,Misd.
1-0765 ,,Misd.
1-0770 ,,Misd.
"1-0775 CR, §3-",,Misd.
"1-1640 CR, §3-",,Misd.
"1-1416 CR, §3-203(c)",,Felony
1-1435 ,,Felony
1-1440 ,,Misd.
Code,Source,or
1-0222 ,,Misd.
3-5260 ,,Misd.
3-5260 ,,Misd.
3-5250 ,,Misd.
"2-0175 CR, §3-1022-0180 CR, §3-1042-0185",,Felony
1-1164 ,,Felony
1-1180,,
1-1165 ,,Felony
1-1181,,
1-1166 ,,Felony
1-1182,,
1-1162 ,,Felony
1-1167 ,,Misd.
1-1184,,
Code,Source,or
1-1141 ,,Misd.
6-8000 ,,Misd.
6-8000 ,,Misd.
6-8000 ,,Misd.
1-1437 ,,Misd.
2-5100 ,,Misd.
