name,area,population,density,householdincome,rent,maleage,femaleage,PopulationRank,IncomeRank
Rosemont East ,0.250,1478,5909,49058,719,38.6,40.5,Normal,Normal
Sabina-Mattfeldt ,0.128,235,1835,122736,1219,45.2,,Sparse,Normal
Saint Agnes ,0.076,380,5002,36437,423,41.1,43.5,Sparse,Lower
Saint Josephs ,0.140,2005,14326,38528,1046,34.5,39.6,Normal,Lower
Saint Paul ,0.116,222,1914,32498,552,33.7,40.6,Sparse,Lower
Sandtown-Winchester ,0.406,9405,23179,28718,523,33.0,38.5,Dense,VeryLow
Seton Business Park ,0.298,170,570,50359,539,46.9,51.2,Sparse,Normal
Seton Hill ,0.151,2080,13756,36710,870,27.7,30.6,Normal,Lower
Sharp-Leadenhall ,0.066,960,14529,71838,1280,34.3,37.8,Normal,Normal
Shipley Hill ,0.183,2640,14421,28551,707,35.4,36.3,Normal,VeryLow
Sobo ,0.130,2132,16346,98305,1621,30.1,30.2,Normal,Normal
South Clifton Park ,0.096,758,7913,32039,766,37.6,39.8,Normal,VeryLow
Southeast Baltimore ,9.986,66367,6646,64230,1177,34.7,35.1,Normal,Normal
Southwest Baltimore ,10.262,68170,6643,43692,742,36.1,40.5,Normal,Normal
Spring Garden Industrial Area ,0.246,679,2756,79437,1260,27.8,,Sparse,Normal
Stadium Area ,0.166,1341,8063,59925,1504,33.8,39.3,Normal,Normal
Stonewood-Pentwood-Winston ,0.098,1636,16623,49614,747,26.7,31.9,Normal,Normal
Ten Hills ,0.319,1378,4320,70008,834,33.0,40.5,Sparse,Normal
The Orchards ,0.202,474,2342,170011,1862,39.5,,Sparse,Normal
Towanda-Grantley ,0.140,1588,11316,32488,642,37.1,40.1,Normal,Lower
Tremont ,0.035,480,13768,53555,873,37.4,44.4,Normal,Normal
Tuscany-Canterbury ,0.153,1040,6803,130154,1424,39.5,36.6,Normal,Normal
Union Square ,0.065,1272,19606,35290,691,32.9,38.0,Dense,Lower
University Of Maryland ,0.082,1002,12257,45158,957,27.6,29.6,Normal,Normal
Uplands ,0.200,484,2422,67591,396,37.3,41.9,Sparse,Normal
Upper Fells Point ,0.123,3201,25973,113963,1553,41.6,40.0,Dense,Normal
Upton ,0.290,5247,18062,19827,556,27.3,32.6,Dense,VeryLow
Villages Of Homeland ,0.011,33,3072,43125,712,48.2,,Sparse,Normal
Violetville ,0.600,2596,4324,42749,457,44.9,45.9,Sparse,Normal
Walbrook ,0.210,2683,12793,38530,743,37.3,,Normal,Lower
Waltherson ,0.657,6739,10260,60739,853,36.6,42.9,Normal,Normal
Washington Hill ,0.005,97,18553,30066,397,28.1,,Dense,VeryLow
Washington Village ,0.325,4012,12350,42566,1026,34.4,33.5,Normal,Normal
Waverly ,0.149,3101,20853,41771,983,36.5,44.1,Dense,Normal
West Arlington ,0.276,1302,4715,48050,999,34.8,52.3,Sparse,Normal
West Baltimore ,2.703,43663,16155,30449,601,33.8,37.8,Normal,VeryLow
West Forest Park ,0.364,2721,7476,50131,784,37.5,41.1,Normal,Normal
West Hills ,0.350,2369,6765,52616,803,40.1,39.9,Normal,Normal
Westfield ,0.427,3175,7428,61508,835,41.7,41.5,Normal,Normal
Westgate ,0.337,3889,11556,64319,833,33.6,39.7,Normal,Normal
Westport ,0.506,2650,5234,50483,441,28.5,32.4,Sparse,Normal
Wilson Heights ,0.087,655,7557,62310,1286,32.9,38.4,Normal,Normal
Wilson Park ,0.120,1283,10706,52352,800,31.6,38.2,Normal,Normal
Winchester ,0.072,922,12729,26374,853,30.7,39.7,Normal,VeryLow
